btCode,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
A000A,,,,,,,,,,,,,,,,,,,A07PQ; A07PR,,A0C6Y,,,,,,,,,,,,
A000F,,A066Q; A067X,,A000F,,,,,,A0F2R,,,,,,,,A07NY,A07PR; A07PT,A07QZ,A07SE; A0C6Q; A0C6Y,,,A07VQ,,A07XD,,A0C03,,,,,
A000G,A059V,A066Q,,A000G,,,,,,,,,,,,,,A07NY,A07PL; A07PP; A07PR; A16RX; A07PQ,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,A000G,A07JE; A07LC; A0C0R; A0C0S,,,,,A167T; A169E
A000H,A059X,A066Q,,,,,,,,,,,,,,,,,,,A07SE,,,,,,A000H,,,,,,
A000L,,A066Q; A067Z,,,,,,,,,,,,,,,,A07NY,A07PP; A07PQ; A07PR; A07PS; A07PT,,A07RV; A07SE; A0C6Y,,,A07VP; A07VQ,,A07XD,A000L,A07LC; A0C0L; A0C0S,,,,,A167G
A000M,,,,,,,,,,,,,,,,,,,A07PG; A07PR; A16RX; A07PL,A07QZ,A07SE; A0C6Y,,,A07VP; A07VQ,,A07XD,,,,,,,
A000N,A059C,A066Q,,A000N,,,,,,,,,,,,,,A07NY,A07PQ; A07PR; A07PL; A07PN; A07PT; A16RX; A07PF,A07QC; A07QD,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,A000N,A07LC; A07GY; A07JE; A07KG; A0C0S,,,,,
A000P,A059D,A066Q; A066P,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,A000P,A07JE; A07LC; A0C0S; A07GY; A0C0R,,,,,
A000R,,A066Q,,,,,,,,A0F2S; A0F2R,,,,,,,,,A07PL; A07PR; A16RX; A07PT,,A07RV; A07SE; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07LC; A0C0S,,,,,
A000S,,A066Q,A06HY,,,,,,,A0CJP; A0F2Q; A0F5H,,,,,,,,,A07PG; A07PQ; A07PR; A07QB,,A07RV; A07SE; A07SG; A0C6Y,,,,,,,A0C0S; A07GV; A07LA; A0C0R; A07GG,,,,,
A000T,A059G,A066Q; A068B,,A042P,,,,,,,,,,,,,,A07NS; A07NY,A07PQ; A07PR; A16RX; A07PG; A07PL; A07PS,,A07RV; A07SE; A0C6Q; A0C6X; A0C6Y,,A07TD; A07TV; A07TY; A07VB; A07VD; A07VF,A07VQ,,A07XD; A07XE,A000T,A07GR; A0BZX; A0C0A; A0C0S; A0C0R; A0C03; A07GY; A07JP,,,,,A0C4A
A000V,,A06CP,,A042P; A06LK; A002Q,,,,,,,,,,,,,,,,,,,,,,,,A0C0S,,,,,
A000Y,,A066Q,,,,,,,,A0F2R,,,,,,,,,A07PR,,A07SE,,,,,,A000Y,A0C0S,,,,,
A001B,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PN; A07PR; A16RQ; A16RX; A07PQ; A07PF,,A07SE; A0C6Q; A0C6Y,,,A07VQ,,A07XD,,A07LC; A0C0S,,,,,
A001C,,A066Q,A06HY,,,,,,,A0F2R; A0F2S,,,,,,,,A07NK; A07NY,A07PQ; A07PR; A07PX; A16RQ; A16RX; A16RT; A07PT; A07PS,A07QD,A07RV; A07SE; A0C6Q; A0C6Y,,,A07VP; A07VQ,,A07XD,,A07LC; A0C0R; A0C0S; A07GF; A07LK,,,,,A0C3X
A001D,A059Y,A066Q,,,,A0BA6,,,,A06HR,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PV; A16RX; A16SA; A07PT,A07QC; A07QZ; A07QY,A07RV; A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,A001D,A07GF; A07GG; A07LC; A07LK; A0BZV; A0C0R; A0C0S,,,,,
A001E,A059Y,A066P; A066Q,,,,,,,,A06HR; A0EZZ,,,,,,,,,A07PQ; A07PR,A07QZ,A07SE; A0C6Y,,A07TD,,,,A001E,A0BZV; A0C0S; A07LC,,,,,
A001F,A059Y; A059Z,A066Q; A066P,A06JC,,,A0BA6,,,,A06HR; A0F2P; A0F2R,,,,,,,,A07NK; A07NY,A07PQ; A07PR; A07PX; A16RQ; A16RX; A16SA; A07PT; A07PL; A07PN; A07PS,A07QC; A07QZ; A07QY,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,A001F,A07LC; A07LK; A0BZV; A0C0R; A0C0S; A0BYM; A07KG; A07GM,,,,,
A001G,,,,,,A0BA6,,,,,,,,,,,,,A07PR,,,,,,,,,,,,,,
A001H,,,,,,,,,,,,,,,,,,,A07PR,A07QZ,A07RV; A0C6Y,,A07TD,,,,,A0C0R; A0CQZ; A07LC,,,,,
A001J,,,,,,A0BA6,,,,,,,,,,,,,A07PR; A07PQ; A07PT,,A07SE; A0C6Y,,,,,A07XD,,A0C0S,,,,,
A001K,A05AD; A05AN,A066Q,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP,,A07XD,A001K,A07JE; A07KG; A07LC; A0C0L; A0C0S,,,,,
A001L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001M,A05AF,A066Q,A06HY; A06JD,,,,,,,A0CJP; A0F2S,,,,,,,,A07NY,A07PQ; A07PR,A07RC; A0CQV,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,,A0C0L; A0C0S; A07GP; A07LK; A0CRJ; A07GG; A07LC; A0C0R,,,,,
A001N,,A066Q,,,,,,,,A0F2S,,,,,,,,A07NK; A07NY,A07PL; A07PP; A07PR; A07PT; A16RX; A07PQ,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07JE; A07KG; A07LC; A0C09; A0C0A; A0C0L; A0C0R; A0C0S; A07HV; A0C03; A0BYM,,,,,
A001P,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PR,,A07RV; A07RZ; A07SE; A0C6Q; A0C6Y,,A07TD,,,A07XD,,A0BA1; A0C0R; A0C0S; A07KJ; A07LC; A0C0A; A07GY; A0C00,,,,,A0C4A
A001Q,A05AH,A066Q,,,,,,,,,,,,,,,,,A07PL; A07PR,,A07RY; A0CAG; A07SE; A0C6Y,,,,,A07XD,A001Q,A07JE; A0C0S; A0C0A; A07LA,,,,,
A001R,,A066Q,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A16RX; A07PF; A07PP; A07PT,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,,A07HR; A07JE; A07LC; A0C0S; A0C0R; A0C03,,,,,
A001S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001V,,,,,,,,,,,,,,,,,,A07NY,A07PR,,A0C6Y,,,,,A07XD,,,,,,,
A001X,A05AF,A066Q,,,,,,,,,,,,,,,,,A07PR,,A07RV; A07SE; A0C6Y,,,A07VQ,,A07XD,,A0C0S; A0C0R,,,,,
A001Y,A059J,A066Q,,,,,,,,,,,,,,,,,A07PR; A07PQ,,A07RV; A07SE; A0C6Q; A0C6Y,,,A07VQ,,A07XD,,A0C0R; A0C0S,,,,,A0C4A
A002C,,,,,,,,,,,,,,,,,,,A07PL; A07PR; A07PT; A07PS,,A07SE; A0C6Y,,,A07VP,,A07XD,,,,,,,A0C1B; A167G
A002G,,A067Z,A06JD,,,,,,,A06HR,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT,,A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,,A07LA; A0C03; A0C0A,,,,,
A002H,,A068B,,A000N,,,,,,,,,,,,,,,A07PL; A07PR,,A07SE,,,,,A07XD,,A0C0R; A07LA,,,,,
A002K,,A066Q,,A000P,,,,,,,,,,,,,,,A07PL; A07PQ; A07PR; A07PT,,A07RV; A07SE; A0C6Q; A0C6Y,,,A07VQ,,A07XD,,A07LC; A0C0R; A0C0S; A0BZV; A0C03,,,,,
A002L,,A067Z,,A00DA,,,,,,,,,,,,,,,A07PQ; A07PR,,A07SE; A0C6Y,,,,,,,A0C0A,,,,,
